file_path,audio_group,filename,sentence_id,variant,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,f0_mean,f0_std,voiced_ratio,jitter,shimmer,hnr,zcr_mean,zcr_std,rms_mean,rms_std
data\raw\data_store\audio1\arctic_a0001(7).wav,audio1,arctic_a0001(7).wav,0001,7,-207.60643,77.372528,-2.805988,14.524872,-19.995134,1.57689,-24.066164,-4.765645,-5.273728,0.622078,-17.577606,6.887738,-11.819814,199.913,21.443,0.9579,0.0304,0.44321,-5.52,0.175486,0.146651,0.107957,0.05533
data\raw\data_store\audio1\arctic_a0001.wav,audio1,arctic_a0001.wav,0001,0,-238.231354,76.400887,1.295301,27.500216,-13.508411,4.732711,-7.08187,-7.022777,-0.555231,-5.501422,-10.302745,-2.675122,-6.388293,180.422,22.284,0.9327,0.02874,0.35603,1.342,0.162056,0.188688,0.120071,0.059328
data\raw\data_store\audio10\arctic_a0010(1).wav,audio10,arctic_a0010(1).wav,0010,1,-254.222748,70.915665,-4.730084,43.716991,-23.126717,4.371008,-23.003717,1.252315,-28.319788,-2.689244,-15.555892,-9.638384,-0.653143,243.032,35.841,0.9891,0.031,0.40516,-0.81,0.128779,0.128794,0.080078,0.02884
data\raw\data_store\audio10\arctic_a0010(3).wav,audio10,arctic_a0010(3).wav,0010,3,-204.201294,85.416649,12.469597,35.149635,-14.598441,-5.737399,-13.932256,-11.816051,-15.433362,0.523155,-1.365014,-10.901133,-2.72533,231.081,26.43,0.92,0.02344,0.34224,0.679,0.116425,0.120399,0.115371,0.045232
data\raw\data_store\audio10\arctic_a0010(4).wav,audio10,arctic_a0010(4).wav,0010,4,-199.124954,89.131241,-19.376656,35.137928,-31.390099,3.286332,-21.959894,-18.171896,-9.864217,-4.576063,-9.105929,-4.367473,-0.765472,225.766,29.161,0.9438,0.02322,0.38661,-3.114,0.13472,0.134375,0.099623,0.03988
data\raw\data_store\audio10\arctic_a0010(5).wav,audio10,arctic_a0010(5).wav,0010,5,-200.114853,82.92627,-5.799582,37.330669,-10.690438,4.935503,-4.19735,-25.364088,-10.533555,-15.0023,-14.679542,-3.331727,-13.363342,171.004,37.243,0.9512,0.03519,0.36041,-5.295,0.131911,0.132801,0.100769,0.042308
data\raw\data_store\audio10\arctic_a0010(6).wav,audio10,arctic_a0010(6).wav,0010,6,-229.403244,90.364197,-10.999274,39.674656,-18.059694,-9.58585,-34.939548,-15.314266,-21.519318,-8.29688,-9.825525,-10.021748,-1.601882,231.681,29.603,1.0,0.02935,0.33768,-1.945,0.091558,0.10123,0.134268,0.063171
data\raw\data_store\audio10\arctic_a0010(7).wav,audio10,arctic_a0010(7).wav,0010,7,-202.794327,96.555145,2.766049,17.130039,-18.4923,3.213094,-18.630901,-5.1958,-10.958524,0.917373,-19.480734,1.967173,-16.49065,187.731,17.001,0.9647,0.01655,0.29412,1.274,0.107621,0.12793,0.134966,0.044239
data\raw\data_store\audio10\arctic_a0010.wav,audio10,arctic_a0010.wav,0010,0,-228.398651,99.862175,3.542466,19.675688,-15.245057,4.434812,-6.043617,-4.777048,-8.965464,-8.226908,-8.294631,-4.508564,-12.406377,189.506,18.976,0.9813,0.0241,0.31444,4.332,0.105341,0.153005,0.166087,0.066297
data\raw\data_store\audio100\arctic_a0100(1).wav,audio100,arctic_a0100(1).wav,0100,1,-277.786163,43.456848,18.568266,42.729084,-23.479149,12.851249,-11.917106,5.658229,-10.040286,0.391163,-11.804578,-4.27042,-1.581388,223.536,29.159,0.6842,0.04874,0.43709,-1.584,0.175394,0.189268,0.07069,0.055454
